name_kor,name_eng,date_of_birth,url
김태완,Tae-Wahn Kim,1966-08-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=1422
이광우,Kwang-Woo Lee,1965-03-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1426
이강철,Kang-Chul Lee,1966-05-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=13923
박병호,Byung-Ho Park,1970-07-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1440
조계현,Kye-Hyeon Cho,1964-05-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=12724
장호익,Ho-Ik Jang,1965-05-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1424
문승훈,Seung-Hoon Moon,1966-03-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=11428
강태원,Tae-Won Kang ,1971-05-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1467
이경복,Kyung-Bok Lee,1970-11-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1449
김정훈,Jung-Hoon Kim,1970-07-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=1580
유창균,Chang-Kyun Yoo ,1970-10-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=1481
정동해,Dong-Hae Jung,1971-10-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1487
조찬관,Chan-Kwan Cho,1965-06-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=1531
홍현우,Hyun-Woo Hong,1972-09-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1499
강대성,Dae-Sung Kang ,1971-05-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1541
정회열,Hoi-Yeol Jung,1968-10-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1496
이호성,Ho-Sung Lee,1967-07-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1500
최향남,Hyang-Nam Choi,1971-03-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=10743
양민석,Min-Seok Yang,1971-10-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=1517
서정필,Jung-Pil Seo ,1971-08-05,https://statiz.sporki.com/player/?m=playerinfo&p_no=1550
최태영,Tae-Young Choi ,1971-08-30,https://statiz.sporki.com/player/?m=playerinfo&p_no=1559
김병두,Byung-Doo Kim,1972-01-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=1506
정성훈,Sung-Hoon Jung,1972-05-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1529
박현수,Hyun-Soo Park ,1972-01-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1513
오희주,Hee-Ju Oh ,1968-07-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=1636
이종택,Jong-Taek Lee,1968-03-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1596
김재덕,Jae-Duk Kim,1973-05-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=1579
김승남,Seung-Nam Kim ,1972-06-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1626
양회열,Hoi-Yeol Yang,1971-09-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1564
문귀석,Gui-Seok Moon ,1971-09-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1706
김병조,Byung-Jo Kim,1969-05-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=1650
박노준,No-Jun Park,1962-10-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1292
김태동,Tae-Dong Kim,1970-12-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=1660
