name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
Tae-geun Kim,1996-08-10,https://www.baseball-reference.com/register/player.fcgi?id=kim---029tae,tae keun kim,김태근,Tae-Geun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14175
Taek Yeon Kim,2005-06-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---035tae,taek yeon kim,김택연,Taek-Yeon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16067
Yu Seong Kim,2002-01-01,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yus,yoo seong kim,김유성,Yoo-Seong Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15509
Hwi Kwon,2000-12-07,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000hwi,hwi kwon,권휘,Hwi Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=13665
Byeong Heon Lee,2003-06-04,https://www.baseball-reference.com/register/player.fcgi?id=lee---004bye,byeong heon lee,이병헌,Byeong-Heon Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15099
Byung-hwee Lee,1998-08-05,https://www.baseball-reference.com/register/player.fcgi?id=lee---003byu,yoo chan lee,이유찬,Yu-Chan Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=12894
Kyo Hoon Lee,2000-05-29,https://www.baseball-reference.com/register/player.fcgi?id=lee---000kyo,kyo hoon lee,이교훈,Kyo-Hoon Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=14173
Young Ha Lee,1997-11-01,https://www.baseball-reference.com/register/player.fcgi?id=lee---000you,yeong ha lee,이영하,Young-Ha Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=12568
Myeong Jin Oh,2001-09-04,https://www.baseball-reference.com/register/player.fcgi?id=oh----002mye,myeong jin oh,오명진,Myeong-Jin Oh,https://statiz.sporki.com/player/?m=playerinfo&p_no=14737
Chi Guk Park,1998-03-10,https://www.baseball-reference.com/register/player.fcgi?id=park--000chi,chi kook park,박치국,Chi-Guk Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=12850
Gye Beom Park,1996-01-11,https://www.baseball-reference.com/register/player.fcgi?id=park--001gye,gye beom park,박계범,Gye-Beom Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=11198
Ji Ho Park,2003-07-02,https://www.baseball-reference.com/register/player.fcgi?id=park--002jih,ji ho park,박지호,Ji-ho Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=16071
Jong Ki Park,1995-01-21,https://www.baseball-reference.com/register/player.fcgi?id=park--005jon,so joon park,박소준,So-Joon Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=11491
Jun Young Park,1997-08-05,https://www.baseball-reference.com/register/player.fcgi?id=park--003joo,jun yeong park,박준영,Jun-Young Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=12522
Shin-jee Park,1999-07-16,https://www.baseball-reference.com/register/player.fcgi?id=park--000shi,shin ji park,박신지,Shin-Ji Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=13070
Henry Ramos,1992-04-15,https://www.baseball-reference.com/register/player.fcgi?id=ramos-001hen,henry ramos,라모스,Henry Ramos,https://statiz.sporki.com/player/?m=playerinfo&p_no=15000
Hyun Jun Ryu,2005-03-25,https://www.baseball-reference.com/register/player.fcgi?id=ryu---002hyu,hyeon jun ryu,류현준,Hyun-jun Ryu,https://statiz.sporki.com/player/?m=playerinfo&p_no=16076
Ye Il Seo,1993-06-19,https://www.baseball-reference.com/register/player.fcgi?id=seo---000ye-,ye il seo,서예일,Ye-Il Seo,https://statiz.sporki.com/player/?m=playerinfo&p_no=12523
Keisho Shirakawa,2001-06-04,https://www.baseball-reference.com/register/player.fcgi?id=shirak000kei,keisho shirakawa,시라카와,Keisho Shirakawa,https://statiz.sporki.com/player/?m=playerinfo&p_no=16148
Suk Hwan Yang,1991-07-15,https://www.baseball-reference.com/register/player.fcgi?id=yang--001seo,seok hwan yang,양석환,Seok-Hwan Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=11213
Ui-ji Yang,1987-06-05,https://www.baseball-reference.com/register/player.fcgi?id=yang--000ui-,eui ji yang,양의지,Eui-Ji Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10165
Tong Keon Yeo,2005-08-04,https://www.baseball-reference.com/register/player.fcgi?id=yeo---000ton,dong keon yeo,여동건,Dong-Keon Yeo,https://statiz.sporki.com/player/?m=playerinfo&p_no=16068
Jared Young,1995-07-09,https://www.baseball-reference.com/register/player.fcgi?id=young-000jar,jared yeong,제러드,Jared Young,https://statiz.sporki.com/player/?m=playerinfo&p_no=16158
Jun Ho Yun,2000-11-14,https://www.baseball-reference.com/register/player.fcgi?id=yun---001jun,jun ho yoon,윤준호,Jun-Ho Yoon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15512
Chi Hong An,1990-07-02,https://www.baseball-reference.com/register/player.fcgi?id=an----000chi,chi hong ahn,안치홍,Chi-Hong An,https://statiz.sporki.com/player/?m=playerinfo&p_no=10014
Min Seo Bae,1999-11-18,https://www.baseball-reference.com/register/player.fcgi?id=bae---002min,min seo bae,배민서,Min-Seo Bae,https://statiz.sporki.com/player/?m=playerinfo&p_no=14158
Jaime Barria,1996-07-18,https://www.baseball-reference.com/register/player.fcgi?id=barria000jai,jaime barria,바리아,Jaime Barria,https://statiz.sporki.com/player/?m=playerinfo&p_no=16150
Eun Seong Chae,1990-02-06,https://www.baseball-reference.com/register/player.fcgi?id=chae--000weu,eun seong chae,채은성,Eun-Seong Chae,https://statiz.sporki.com/player/?m=playerinfo&p_no=11215
Kyu Hyun Chang,2002-06-28,https://www.baseball-reference.com/register/player.fcgi?id=chang-000kyu,kyu hyeon jang,장규현,Kyu-Hyun Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=14811
See-hwan Chang,1987-11-01,https://www.baseball-reference.com/register/player.fcgi?id=jang--000hyo,si hwan jang,장시환,Si-Hwan Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10453
Dong Uk Cho,2004-11-02,https://www.baseball-reference.com/register/player.fcgi?id=cho---003don,dong wook cho,조동욱,Dong-wook Jo,https://statiz.sporki.com/player/?m=playerinfo&p_no=16108
In Ho Choi,2000-01-30,https://www.baseball-reference.com/register/player.fcgi?id=choi--000inh,in ho choi,최인호,In-Ho Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=14707
Jae Hoon Choi,1989-08-27,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jae,jae hoon choi,최재훈,Jae-Hun Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=10170
Woo Ram Chung,1985-06-01,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000woo,woo ram jeong,정우람,Woo-Ram Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=10156
Ju Suk Ha,1994-02-25,https://www.baseball-reference.com/register/player.fcgi?id=ha----000joo,joo seok ha,하주석,Joo-Seok Ha,https://statiz.sporki.com/player/?m=playerinfo&p_no=10913
Hyeong Been Han,1998-12-11,https://www.baseball-reference.com/register/player.fcgi?id=han---001hye,kyeong bin han,한경빈,Kyung-Bin Han,https://statiz.sporki.com/player/?m=playerinfo&p_no=15633
Seung Hyuk Han,1993-01-03,https://www.baseball-reference.com/register/player.fcgi?id=han---000seu,seung hyeok han,한승혁,Seung-Hyeok Han,https://statiz.sporki.com/player/?m=playerinfo&p_no=10812
