Id,URL,Player,Age,Born,Position,BatThrow,HtWt,Career,Draft,Season,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SF,SH,E,AVG,SLG,OBP,OPS
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,28,1991-04-06,1B,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2019,KT,33,68,60,8,12,1,0,2,19,7,2,0,4,2,26,1,2,0,4,0.2,0.317,0.265,0.582
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,29,1991-04-06,1B,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2020,KT,74,172,154,24,40,3,2,8,71,25,0,1,11,2,43,4,2,3,1,0.26,0.461,0.314,0.775
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,30,1991-04-06,1B,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2021,KT,53,106,96,14,21,6,0,2,33,16,2,0,8,2,33,1,0,0,0,0.219,0.344,0.292,0.636
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,31,1991-04-06,DH,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2022,KT,28,52,49,5,11,3,0,2,20,4,1,0,3,0,17,2,0,0,0,0.224,0.408,0.269,0.677
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,32,1991-04-06,DH,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2023,KT,112,330,304,30,79,20,0,9,126,46,3,1,16,3,81,4,6,1,2,0.26,0.414,0.298,0.712
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,33,1991-04-06,1B,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2024,KT,125,403,347,50,89,11,0,17,151,58,6,1,45,7,86,8,3,1,6,0.256,0.435,0.351,0.786
64007,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,문상철,34,1991-04-06,1B,R/R,184cm/85kg,중대초-잠신중-배명고-고려대-KT-상무,14 KT 2차 특별 11순위,2025,KT,79,209,173,22,37,6,1,5,60,20,1,1,25,5,44,3,3,3,0,0.214,0.347,0.325,0.672
60464,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=60464,문선엽,23,1991-07-31,OF,L/L,175cm/80kg,양덕초-마산중-마산고-삼성-경찰,10 삼성 9라운드 69순위,2014,삼성,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
60464,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=60464,문선엽,26,1991-07-31,OF,L/L,175cm/80kg,양덕초-마산중-마산고-삼성-경찰,10 삼성 9라운드 69순위,2017,삼성,4,4,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0.0,0.0
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,20,1990-05-20,1B,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2010,LG,7,5,5,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0.0,0.0,0.0
