gameId,gameDate,homeTeam,awayTeam,homeScore,awayScore
20210309KBOPG1,20210309,,,0,0
20210306KBOPG1,20210306,,,0,0
20210301KBO01,20210301,,,0,0
20210301KBO02,20210301,,,0,0
20210302KBOPG1,20210302,,,0,0
20210307KBOPG2,20210307,,,0,0
20210311KBOPG2,20210311,,,0,0
20210311KBOPG1,20210311,,,0,0
20210303KBOPG1,20210303,,,0,0
20210313KBOPG1,20210313,,,0,0
20210305KBOPG1,20210305,,,0,0
20210310KBOPG1,20210310,,,0,0
20210307KBOPG1,20210307,,,0,0
20210305KBOPG2,20210305,,,0,0
20210306KBOPG2,20210306,,,0,0
20210313KBOPG2,20210313,,,0,0
20210314KBOPG1,20210314,,,0,0
20210313HB1,20210313,,,0,0
20210313KBOPG3,20210313,,,0,0
20210314HB1,20210314,,,0,0
20210316KBOPG2,20210316,,,0,0
20210314KBOPG2,20210314,,,0,0
20210316KBOPG1,20210316,,,0,0
20210314KBOPG3,20210314,,,0,0
20210317KBOPG1,20210317,,,0,0
20210317KBOPG2,20210317,,,0,0
20210321HTSS02021,20210321,SS,HT,10,7
20210318KBOPG1,20210318,,,0,0
20210317KBOPG3,20210317,,,0,0
20210321KTOB02021,20210321,OB,KT,2,4
20210321LGHH02021,20210321,HH,LG,3,2
20210321SKNC02021,20210321,NC,SK,11,3
20210321WOLT02021,20210321,LT,WO,6,1
20210322HTNC02021,20210322,NC,HT,0,7
20210322HHOB02021,20210322,OB,HH,5,12
20210323WOSS02021,20210323,SS,WO,3,3
20210323HHOB02021,20210323,OB,HH,3,4
20210322SKLT02021,20210322,LT,SK,10,3
20210322LGKT02021,20210322,KT,LG,9,3
20210323HTNC02021,20210323,NC,HT,1,11
20210322WOSS02021,20210322,SS,WO,5,5
20210323SKLT02021,20210323,LT,SK,3,2
20210323LGKT02021,20210323,KT,LG,4,4
20210325HHKT02021,20210325,KT,HH,12,5
20210325LGOB02021,20210325,OB,LG,3,6
20210325LTHT02021,20210325,HT,LT,1,3
20210325SSSK02021,20210325,SK,SS,3,6
20210325WONC02021,20210325,NC,WO,4,9
20210326HHKT02021,20210326,KT,HH,5,6
20210326OBLG02021,20210326,LG,OB,3,7
20210326LTHT02021,20210326,HT,LT,9,4
20210328LTHH02021,20210328,HH,LT,2,0
20210326SSSK02021,20210326,SK,SS,10,10
20210326WONC02021,20210326,NC,WO,7,7
20210328WOHT02021,20210328,HT,WO,1,3
20210328SSLG02021,20210328,LG,SS,6,5
20210330SKLG02021,20210330,LG,SK,2,3
20210328NCKT02021,20210328,KT,NC,14,3
20210329SKLG02021,20210329,LG,SK,2,1
20210330KTHT02021,20210330,HT,KT,3,6
20210330OBSS02021,20210330,SS,OB,5,6
20210330WOHH02021,20210330,HH,WO,9,2
20210330NCLT02021,20210330,LT,NC,3,3
20210403SSWO02021,20210403,WO,SS,6,1
20210402KBO03,20210402,,,0,0
20210404LGNC02021,20210404,NC,LG,1,2
20210330SSG01,20210330,,,0,0
20210404HHKT02021,20210404,KT,HH,3,2
20210404KBORDS1,20210404,,,0,0
20210404HTOB02021,20210404,OB,HT,4,1
20210406SSGLG1,20210406,,,0,0
20210404SSWO02021,20210404,WO,SS,7,4
20210406KBORDS1,20210406,,,0,0
20210404LTSK02021,20210404,SK,LT,5,3
20210406HHSK02021,20210406,SK,HH,2,1
20210406HTWO02021,20210406,WO,HT,4,5
20210406LGKT02021,20210406,KT,LG,2,3
20210407KBORDS1,20210407,,,0,0
20210406SSOB02021,20210406,OB,SS,6,3
20210407SSGLG1,20210407,,,0,0
20210406LTNC02021,20210406,NC,LT,5,10
20210407LGKT02021,20210407,KT,LG,7,3
20210407HTWO02021,20210407,WO,HT,7,8
20210407HHSK02021,20210407,SK,HH,0,17
20210408KBORDS1,20210408,,,0,0
20210407LTNC02021,20210407,NC,LT,10,6
20210408SSGLG1,20210408,,,0,0
20210408HHSK02021,20210408,SK,HH,6,4
20210407SSOB02021,20210407,OB,SS,1,0
20210408HTWO02021,20210408,WO,HT,3,5
20210408LGKT02021,20210408,KT,LG,3,7
20210408LTNC02021,20210408,NC,LT,4,8
20210409KTSS02021,20210409,SS,KT,7,5
20210409NCHT02021,20210409,HT,NC,6,10
20210408SSOB02021,20210408,OB,SS,1,6
20210409OBHH02021,20210409,HH,OB,7,0
20210409SKLG02021,20210409,LG,SK,9,5
20210410KTSS02021,20210410,SS,KT,7,6
20210410SKLG02021,20210410,LG,SK,3,4
20210409WOLT02021,20210409,LT,WO,2,7
20210410OBHH02021,20210410,HH,OB,1,18
20210410NCHT02021,20210410,HT,NC,2,9
20210410WOLT02021,20210410,LT,WO,13,0
20210411KTSS02021,20210411,SS,KT,4,2
20210411NCHT02021,20210411,HT,NC,3,7
20210411OBHH02021,20210411,HH,OB,3,2
20210411WOLT02021,20210411,LT,WO,2,3
20210411SKLG02021,20210411,LG,SK,1,0
20210413GYKT1,20210413,,,0,0
20210413KBORDS1,20210413,,,0,0
20210413HHSS02021,20210413,SS,HH,4,3
20210413LGWO02021,20210413,WO,LG,8,2
20210414GYKT1,20210414,,,0,0
20210413LTHT02021,20210413,HT,LT,0,8
20210413KTOB02021,20210413,OB,KT,7,8
20210413NCSK02021,20210413,SK,NC,2,4
20210414KBORDS1,20210414,,,0,0
20210414HHSS02021,20210414,SS,HH,2,6
20210414KTOB02021,20210414,OB,KT,3,1
20210414LGWO02021,20210414,WO,LG,2,13
20210414LTHT02021,20210414,HT,LT,3,2
20210415GYKT1,20210415,,,0,0
20210414NCSK02021,20210414,SK,NC,0,3
20210415KBORDS1,20210415,,,0,0
20210415HHSS02021,20210415,SS,HH,4,0
20210415KTOB02021,20210415,OB,KT,3,8
20210415LGWO02021,20210415,WO,LG,4,6
20210416KUSFBB1,20210416,,,0,0
20210415LTHT02021,20210415,HT,LT,10,5
20210416KUSFBB2,20210416,,,0,0
20210415NCSK02021,20210415,SK,NC,9,3
20210416HTSK02021,20210416,SK,HT,6,11
20210416OBLG02021,20210416,LG,OB,1,0
20210416KBORDS1,20210416,,,0,0
20210416SSLT02021,20210416,LT,SS,9,3
20210416WOKT02021,20210416,KT,WO,8,4
20210416HHNC02021,20210416,NC,HH,9,1
20210417KBORDS1,20210417,,,0,0
20210417HTSK02021,20210417,SK,HT,4,3
20210417OBLG02021,20210417,LG,OB,1,3
20210417HHNC02021,20210417,NC,HH,14,4
20210417WOKT02021,20210417,KT,WO,8,5
20210417SSLT02021,20210417,LT,SS,0,12
20210418HTSK02021,20210418,SK,HT,4,2
20210418KBORDS1,20210418,,,0,0
20210418HHNC02021,20210418,NC,HH,3,11
20210418SSLT02021,20210418,LT,SS,0,7
20210418WOKT02021,20210418,KT,WO,10,2
20210418OBLG02021,20210418,LG,OB,1,9
20210420FUTURE1,20210420,,,0,0
20210420HTLG02021,20210420,LG,HT,3,6
20210420KTNC02021,20210420,NC,KT,2,5
20210420OBLT02021,20210420,LT,OB,10,5
20210420SKSS02021,20210420,SS,SK,7,10
20210421KTNC02021,20210421,NC,KT,4,3
20210420WOHH02021,20210420,HH,WO,7,3
20210421SKSS02021,20210421,SS,SK,14,4
20210421HTLG02021,20210421,LG,HT,7,3
20210421OBLT02021,20210421,LT,OB,10,9
20210421WOHH02021,20210421,HH,WO,4,3
20210422UBASEBALL1,20210422,,,0,0
20210421FUTURE1,20210421,,,0,0
20210422KTNC02021,20210422,NC,KT,5,11
20210422HTLG02021,20210422,LG,HT,2,3
20210422OBLT02021,20210422,LT,OB,1,13
20210422SKSS02021,20210422,SS,SK,6,11
20210422WOHH02021,20210422,HH,WO,3,8
20210423LGHH02021,20210423,HH,LG,1,2
20210423LTKT02021,20210423,KT,LT,5,10
20210423NCOB02021,20210423,OB,NC,5,1
20210423SKWO02021,20210423,WO,SK,5,9
20210423SSHT02021,20210423,HT,SS,4,1
20210424SKWO02021,20210424,WO,SK,4,5
20210424LGHH02021,20210424,HH,LG,19,5
20210425LGHH02021,20210425,HH,LG,0,8
20210424NCOB02021,20210424,OB,NC,9,6
20210424LTKT02021,20210424,KT,LT,2,4
20210425LTKT02021,20210425,KT,LT,6,5
20210424SSHT02021,20210424,HT,SS,4,8
20210425NCOB02021,20210425,OB,NC,0,10
20210425SKWO02021,20210425,WO,SK,4,3
20210425SSHT02021,20210425,HT,SS,2,3
20210426SBO1,20210426,,,0,0
20210426SBO2,20210426,,,0,0
20210427HHKIA1,20210427,,,0,0
20210427RDS1,20210427,,,0,0
20210427HHHT02021,20210427,HT,HH,4,3
20210427KTSK02021,20210427,SK,KT,5,14
20210427NCSS02021,20210427,SS,NC,9,0
20210427LTLG02021,20210427,LG,LT,4,0
20210427OBWO02021,20210427,WO,OB,5,4
20210428HHHT02021,20210428,HT,HH,4,0
20210428HHKIA1,20210428,,,0,0
20210428RDS1,20210428,,,0,0
20210428KTSK02021,20210428,SK,KT,4,2
20210428LTLG02021,20210428,LG,LT,0,3
20210428NCSS02021,20210428,SS,NC,4,3
20210428OBWO02021,20210428,WO,OB,5,4
20210429HHKIA1,20210429,,,0,0
20210429UBASEBALL1,20210429,,,0,0
20210429HHHT02021,20210429,HT,HH,3,2
20210429RDS1,20210429,,,0,0
20210429KTSK02021,20210429,SK,KT,1,6
20210429LTLG02021,20210429,LG,LT,3,2
20210430UBASEBALL2,20210430,,,0,0
20210429OBWO02021,20210429,WO,OB,4,15
20210429NCSS02021,20210429,SS,NC,0,9
20210430HHLT02021,20210430,LT,HH,7,11
20210430UBASEBALL1,20210430,,,0,0
20210430HTKT02021,20210430,KT,HT,15,3
20210430LGSS02021,20210430,SS,LG,4,0
20210430SKOB02021,20210430,OB,SK,9,4
20210501HHLT02021,20210501,LT,HH,3,11
20210430WONC02021,20210430,NC,WO,3,4
20210501SKOB02021,20210501,OB,SK,2,5
20210501LGSS02021,20210501,SS,LG,8,2
20210501HTKT02021,20210501,KT,HT,3,0
20210501WONC02021,20210501,NC,WO,9,13
20210502LGSS02021,20210502,SS,LG,6,4
20210502HHLT02021,20210502,LT,HH,4,5
20210502SKOB02021,20210502,OB,SK,8,5
20210502HTKT02021,20210502,KT,HT,9,2
20210502WONC02021,20210502,NC,WO,5,0
20210503KBASEETC2,20210503,,,0,0
20210503KBASEETC1,20210503,,,0,0
20210505HTLT02021,20210505,LT,HT,5,8
20210505KTWO02021,20210505,WO,KT,14,0
20210505LGOB02021,20210505,OB,LG,4,7
20210505SKNC02021,20210505,NC,SK,12,13
20210505SSHH02021,20210505,HH,SS,1,4
20210506KTWO02021,20210506,WO,KT,6,4
20210506HTLT02021,20210506,LT,HT,17,9
20210506SKNC02021,20210506,NC,SK,7,1
20210507LTSS02021,20210507,SS,LT,4,1
20210508RDS1,20210508,,,0,0
20210506SSHH02021,20210506,HH,SS,6,5
20210508LTSS02021,20210508,SS,LT,8,9
20210506LGOB02021,20210506,OB,LG,2,7
20210508HHLG02021,20210508,LG,HH,11,2
20210507SMGY1,20210507,,,0,0
20210508NCKT02021,20210508,KT,NC,4,5
20210508OBHT02021,20210508,HT,OB,5,11
20210508WOSK02021,20210508,SK,WO,2,9
20210509SMGY1,20210509,,,0,0
20210509RDS1,20210509,,,0,0
20210509HHLG12021,20210509,LG,HH,11,1
20210509NCKT12021,20210509,KT,NC,11,16
20210509LTSS02021,20210509,SS,LT,8,6
20210509OBHT12021,20210509,HT,OB,3,5
20210509WOSK12021,20210509,SK,WO,4,1
20210509HHLG22021,20210509,LG,HH,4,5
20210509WOSK22021,20210509,SK,WO,4,3
20210509NCKT22021,20210509,KT,NC,9,5
20210510BASEETC1,20210510,,,0,0
20210509OBHT22021,20210509,HT,OB,0,9
20210510BASEETC2,20210510,,,0,0
20210511NCHH02021,20210511,HH,NC,2,7
20210511NCSSG1,20210511,,,0,0
20210511LGHT02021,20210511,HT,LG,7,1
20210511SSKT02021,20210511,KT,SS,9,6
20210511SKLT02021,20210511,LT,SK,6,7
20210511WOOB02021,20210511,OB,WO,3,2
20210512NCSSG1,20210512,,,0,0
20210512LGHT02021,20210512,HT,LG,5,3
20210512WOOB02021,20210512,OB,WO,0,3
20210512NCHH02021,20210512,HH,NC,3,6
20210512SSKT02021,20210512,KT,SS,5,7
20210512SKLT02021,20210512,LT,SK,2,9
20210513LGHT02021,20210513,HT,LG,3,8
20210513NCSSG1,20210513,,,0,0
20210513NCHH02021,20210513,HH,NC,2,4
20210513SSKT02021,20210513,KT,SS,0,4
20210513SKLT02021,20210513,LT,SK,5,4
20210513WOOB02021,20210513,OB,WO,13,14
20210514RDS1,20210514,,,0,0
20210514HHWO02021,20210514,WO,HH,1,6
20210514KTLT02021,20210514,LT,KT,1,9
20210514OBSK02021,20210514,SK,OB,3,6
20210514SSLG02021,20210514,LG,SS,4,3
20210514HTNC02021,20210514,NC,HT,5,2
20210515RDS1,20210515,,,0,0
20210515HTNC02021,20210515,NC,HT,7,3
20210515HHWO02021,20210515,WO,HH,15,1
20210515KTLT02021,20210515,LT,KT,4,5
20210515SSLG02021,20210515,LG,SS,14,4
20210516HHWO02021,20210516,WO,HH,5,1
20210517OBSK02021,20210517,SK,OB,3,8
20210517SBO1,20210517,,,0,0
20210516RDS1,20210517,,,0,0
20210517SSLG02021,20210517,LG,SS,1,3
20210517SBO2,20210517,,,0,0
20210518KIALG1,20210518,,,0,0
20210518LTHH02021,20210518,HH,LT,3,4
20210518NCLG02021,20210518,LG,NC,1,0
20210518OBKT02021,20210518,KT,OB,1,0
20210518SKHT02021,20210518,HT,SK,5,7
20210518WOSS02021,20210518,SS,WO,3,15
20210519KIALG1,20210519,,,0,0
20210519LTHH02021,20210519,HH,LT,12,2
20210519NCLG02021,20210519,LG,NC,6,5
20210519OBKT02021,20210519,KT,OB,6,5
20210519WOSS02021,20210519,SS,WO,2,9
20210520NCLG02021,20210520,LG,NC,1,11
20210520CADK,20210520,,,0,0
20210521HTSS02021,20210521,SS,HT,5,3
20210521RDS1,20210521,,,0,0
20210519SKHT02021,20210519,HT,SK,5,11
20210521KTHH02021,20210521,HH,KT,4,0
20210521LGSK02021,20210521,SK,LG,6,5
20210521LTOB02021,20210521,OB,LT,1,9
20210521NCWO02021,20210521,WO,NC,2,0
20210522SSG1,20210522,,,0,0
20210522HTSS02021,20210522,SS,HT,4,9
20210522KTHH02021,20210522,HH,KT,5,0
20210522LGSK02021,20210522,SK,LG,8,3
20210522LTOB02021,20210522,OB,LT,4,3
20210523RDS1,20210523,,,0,0
20210522NCWO02021,20210522,WO,NC,13,6
20210523HTSS02021,20210523,SS,HT,7,5
20210523LGSK02021,20210523,SK,LG,8,0
20210523KTHH02021,20210523,HH,KT,1,8
20210524SBO1,20210524,,,0,0
20210523LTOB02021,20210523,OB,LT,4,0
20210523NCWO02021,20210523,WO,NC,7,4
20210524SBO2,20210524,,,0,0
20210526HHOB02021,20210526,OB,HH,9,3
20210526LGLT02021,20210526,LT,LG,3,5
20210526SKKT02021,20210526,KT,SK,5,9
20210526WOHT02021,20210526,HT,WO,3,2
20210526SSNC02021,20210526,NC,SS,1,7
20210527SKKH,20210527,,,0,0
20210422KUSF1,20210527,,,0,0
